program,mode,event,event_alias,repeat_count,median_value
llvmss_misc_matmul_f64_4x4,wasm-jit,r82d0,all_stores_retired,5,1903588947.0
llvmss_misc_reedsolomon,native,L1-icache-load-misses,L1_icache_load_misses,5,623498.0
llvmss_misc_reedsolomon,native,branch-misses,branch_misses,5,6802888.0
llvmss_misc_reedsolomon,native,cpu-cycles,cpu_cycles,5,10746454334.0
llvmss_misc_reedsolomon,native,r00c4,branches_retired,5,5403613656.0
llvmss_misc_reedsolomon,native,r01c4,conditional_branches,5,338383239.0
llvmss_misc_reedsolomon,native,r1c0,instructions_retired,5,38026847601.0
llvmss_misc_reedsolomon,native,r81d0,all_loads_retired,5,4622100151.0
llvmss_misc_reedsolomon,native,r82d0,all_stores_retired,5,2054987827.0
llvmss_misc_reedsolomon,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1106980.0
llvmss_misc_reedsolomon,wasm-aot,branch-misses,branch_misses,5,6856091.0
llvmss_misc_reedsolomon,wasm-aot,cpu-cycles,cpu_cycles,5,10079563918.0
llvmss_misc_reedsolomon,wasm-aot,r00c4,branches_retired,5,3964126008.0
llvmss_misc_reedsolomon,wasm-aot,r01c4,conditional_branches,5,1747485711.0
llvmss_misc_reedsolomon,wasm-aot,r1c0,instructions_retired,5,40074727752.0
llvmss_misc_reedsolomon,wasm-aot,r81d0,all_loads_retired,5,5999010325.0
llvmss_misc_reedsolomon,wasm-aot,r82d0,all_stores_retired,5,2040156166.0
llvmss_misc_reedsolomon,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1180063.0
llvmss_misc_reedsolomon,wasm-jit,branch-misses,branch_misses,5,6839218.0
llvmss_misc_reedsolomon,wasm-jit,cpu-cycles,cpu_cycles,5,10082926396.0
llvmss_misc_reedsolomon,wasm-jit,r00c4,branches_retired,5,3964482175.0
llvmss_misc_reedsolomon,wasm-jit,r01c4,conditional_branches,5,1747562784.0
llvmss_misc_reedsolomon,wasm-jit,r1c0,instructions_retired,5,40077055305.0
llvmss_misc_reedsolomon,wasm-jit,r81d0,all_loads_retired,5,5999581338.0
llvmss_misc_reedsolomon,wasm-jit,r82d0,all_stores_retired,5,2040457257.0
