static_feature,perf_ratio,wasmtime_spearman_rho,wasmtime_p_value,wasmtime_fdr_q,wasmtime_fdr_sig_0.10,wasmer_spearman_rho,wasmer_p_value,wasmer_fdr_q,wasmer_fdr_sig_0.10,max_abs_rho
compute_instr_count,ratio_conditional_branches_over_native,0.0566642774540555,0.6898933385626338,0.7740266725336867,False,0.2380241518997655,0.0892796633725888,0.1404056244491995,False,0.2380241518997655
compute_to_memory_ratio,ratio_branch_misses_over_native,0.2349524307028851,0.0936126518958501,0.1580250270535451,False,0.1639540780068496,0.2454674829093434,0.3296789551483152,False,0.2349524307028851
hostcall_count,ratio_branch_misses_over_native,-0.23389173914068,0.0951462744803784,0.159153768221724,False,-0.1078622691947075,0.4465837495007639,0.5589891830485753,False,0.23389173914068
store_count,ratio_instructions_retired_over_native,0.1942555048029074,0.1676082526902146,0.2569993207916625,False,0.2156572663271726,0.1246724482368817,0.1895845493850102,False,0.2156572663271726
avg_bb_out_degree,ratio_cpu_cycles_over_native,0.1335185523429725,0.345351054575493,0.4506708797297213,False,0.2078680304564366,0.1392137166045118,0.2099616709445096,False,0.2078680304564366
load_count,ratio_cpu_cycles_over_native,0.1662321314401666,0.2388789715881337,0.3329828088804288,False,0.2033627259049285,0.148182787018494,0.2198841355758298,False,0.2033627259049285
call_instr_count,ratio_branch_misses_over_native,0.14551375997128,0.3033396305957387,0.4050315430376784,False,0.1996325672931485,0.155926904957252,0.2277027818423363,False,0.1996325672931485
loop_count,ratio_branch_misses_over_native,-0.0723671103719216,0.6101703005848098,0.7061090270918554,False,-0.1967725149968817,0.1620632830192483,0.2348003470515094,False,0.1967725149968817
call_to_bb_ratio,ratio_branches_retired_over_native,-0.1965911065626686,0.1624583786341873,0.2511961484763904,False,-0.0563885833686924,0.6913265941149596,0.7651308648567196,False,0.1965911065626686
call_instr_count,ratio_instructions_retired_over_native,-0.152267923918243,0.2812003340166799,0.3832656404375489,False,-0.1922799331230368,0.1720562564790658,0.2473308686886571,False,0.1922799331230368
avg_bb_out_degree,ratio_conditional_branches_over_native,0.1511140204811937,0.284905302640647,0.385460115337346,False,0.1887200210119018,0.1802864782411387,0.2571528061734072,False,0.1887200210119018
load_store_ratio,ratio_instructions_retired_over_native,-0.1312359703618771,0.3537342359762879,0.4551545413960628,False,-0.1832173840296433,0.1935600007106524,0.2739618471596927,False,0.1832173840296433
avg_bb_out_degree,ratio_branches_retired_over_native,0.1828548649658281,0.1944582673783403,0.29089692030581,False,0.0748669918822352,0.5978526481663029,0.6962334636873401,False,0.1828548649658281
load_store_ratio,ratio_cpu_cycles_over_native,-0.1090070763592138,0.4417453234943392,0.5347443389668317,False,-0.1798830499292439,0.2019339408598581,0.281483675137984,False,0.1798830499292439
memory_access_density,ratio_all_loads_retired_over_native,-0.1634414545216796,0.2469669442610619,0.3416685544664316,False,-0.1776240376113811,0.2077508353565304,0.2874146895158015,False,0.1776240376113811
hostcall_count,ratio_conditional_branches_over_native,-0.1767572092417746,0.2100138731996087,0.3091404213498241,False,-0.1725445250095973,0.2212582612564013,0.2993494122880725,False,0.1767572092417746
alloc_call_count,ratio_L1_icache_load_misses_over_native,-0.1686879620041207,0.2319129539745045,0.3300534846046867,False,-0.1754601064641401,0.2134324560095921,0.2930714321325743,False,0.1754601064641401
basic_block_count,ratio_branches_retired_over_native,0.1742296354863079,0.2167112400441444,0.3158385409833376,False,-0.0158704222423171,0.9110864870357488,0.9471181560145636,False,0.1742296354863079
hostcall_density,ratio_conditional_branches_over_native,-0.1149985351731212,0.4169029762053956,0.5183118082553567,False,-0.1727541145022668,0.2206891330878095,0.2993494122880725,False,0.1727541145022668
cfg_edge_count,ratio_branches_retired_over_native,0.1683275772042356,0.2329263412305798,0.3300534846046867,False,-0.0040759382424518,0.9771217072260868,0.9836966690833298,False,0.1683275772042356
